Smartfilters,Group / Team,,,Asset Type,,,,Product,,,,,,,,Details,,,,Campaign,,Year,,,,,,,Remove,,
Metaproperties,Group,Client Team (brand),Dependency,Asset Type,Asset Subtype,Dependency,File Extension,Product Group,Dependency (on Client Team),Product,Dependency (on Client Team),Product Subtype,Dependency (on Product),Product Size,Dependency (on Product Group),Sport,Person,Gender,Number of People,Campaign,Dependency (on brand),Year,Platform Rights,Job ID,Shot Type,Market,Team Marks,Asset Status,Asset Quality,Product Gender,Dependency (on brand)
Metaproperty Option 1,PepsiCo,Gatorade,PepsiCo,Photography,Original,Photography,jpg,GTQ,Gatorade,Coolers,Gatorade,LAZR,Product: Fresh Foam,12oz,GTQ,Baseball,Bryce Harper,Male,None,Efficacy,Gatorade,2006,Digital,Autocomplete,Product,North America,Game,Active,Raw,Male,New Balance
Metaproperty Option 2,Tyson,Propel,PepsiCo,Video,Stock,Photography,psd,Bars,Gatorade,Cups,Gatorade,ZANTE,Product: Fresh Foam,16.9oz,GTQ,Basketball,Cam Newton,Female,One,Flow,Gatorade,2007,Social,,Lifestyle,International,Practice,Expired** Trigger Disclaimer,Retouched,Female,New Balance
Metaproperty Option 3,New York,Tyson Consumer,Tyson,Graphics ,Product,Photography,cr2,Prime,Gatorade,Fuel Bar,Gatorade,1080,Product: Fresh Foam,18.3oz,GTQ,Cross Country,Coach,,Two,Social,Gatorade,2008,Broadcast,,Active,USA,,,Production,Unisex,New Balance
Metaproperty Option 4,Kalamazoo,Jimmy Dean,Tyson,Fonts ,Logos,Graphics,png,Perform,Gatorade,GTQ,Gatorade,Pace,Product: Vazee,20oz,GTQ,Football,D’Angelo Russell,,Group of People (3+),Volume Driving,Gatorade,2009,Unlimited,,Studio,EMEA,,,,,
Metaproperty Option 5,VML Agency,Hillshire,Tyson,Presentations,Layouts,Graphics,tiff,Recover,Gatorade,GTQ - Fierce,Gatorade,Rush,Product: Vazee,21oz,GTQ,Hockey,Dwyane Wade,,,Beat the Heat,Gatorade,2010,Print,,Head to Toe,Australia,,,,,
Metaproperty Option 6,,New Balance,New York,Documents,Icons,Graphics,mp4,JEMS,Stryker,GTQ - Flow,Gatorade,Breathe,Product: Vazee,22.4oz,Recover,Lacrosse,Elena Delle Donne,,,eComm,Gatorade,2011,Internal,,Product Close Up,France,,,,,
Metaproperty Option 7,,Stryker,Kalamazoo,Production Files,Backgrounds & Textures,Graphics,mov,EMS World,Stryker,GTQ - Frost,Gatorade,Reflective,Product: 574,24oz,"GTQ, Endurance",NASCAR,Eli Manning,,,Sweat with the Best,Gatorade,2012,,,Medium Shot,Germany,,,,,
Metaproperty Option 8,,VML Assets,VML Agency,Product Renders,Releases,Documents,eps,Beds,Stryker,Gx Bottle,Gatorade,Jetsetter,Product: 574,28oz,GTQ,Soccer,Jimmie Johnson,,,More Power to You,Stryker,2013,,,Portrait,Asia,,,,,
Metaproperty Option 9,,,,,Print Ad,Production Files,ai,Surfaces,Stryker,Organic,Gatorade,Synthetic,Product: 574,32oz,GTQ,Tennis,JJ Watt,,,The Pressure's Off,Stryker,2014,,,Wide Shot,Europe,,,,,
Metaproperty Option 10,,,,,OLM,Production Files,psd,Clinical Seating,Stryker,Energy Chews,Gatorade,,,51oz,GTQ,Track,Joe Athlete,,,Pandora,Propel,2015,,,Side,Latin America,,,,,
